taxid,parent,taxonomic_rank,scientific_name
taxon:103715 [Hippocampus kuda]@species,taxon:72046 [Hippocampus]@genus,species,Hippocampus kuda
taxon:40217 [Junco hyemalis]@species,taxon:40213 [Junco]@genus,species,Junco hyemalis
taxon:67776 [Gymnocephalus baloni]@species,taxon:39193 [Gymnocephalus]@genus,species,Gymnocephalus baloni
taxon:449286 [Tahuantinsuyoa]@genus,taxon:318560 [Cichlasomatini]@tribe,genus,Tahuantinsuyoa
taxon:9171 [Sturnus]@genus,taxon:9170 [Sturnidae]@family,genus,Sturnus
taxon:111810 [Asio otus]@species,taxon:56266 [Asio]@genus,species,Asio otus
taxon:54386 [Rhynochetos jubatus]@species,taxon:54385 [Rhynochetos]@genus,species,Rhynochetos jubatus
taxon:342565 [Stipiturus malachurus]@species,taxon:266392 [Stipiturus]@genus,species,Stipiturus malachurus
taxon:309922 [Epinephelus epistictus]@species,taxon:94231 [Epinephelus]@genus,species,Epinephelus epistictus
taxon:62253 [Tersina]@genus,taxon:62155 [Emberizinae]@subfamily,genus,Tersina
taxon:318546 [Pseudocrenilabrinae]@subfamily,taxon:319095 [African cichlids]@clade,subfamily,Pseudocrenilabrinae
taxon:255465 [Etheostoma punctulatum]@species,taxon:909700 [Ozarka]@subgenus,species,Etheostoma punctulatum
taxon:292864 [Psammophis schokari]@species,taxon:39149 [Psammophis]@genus,species,Psammophis schokari
taxon:285233 [Pionopsitta pileata]@species,taxon:285228 [Pionopsitta]@genus,species,Pionopsitta pileata
taxon:117191 [Acanthiza lineata]@species,taxon:108820 [Acanthiza]@genus,species,Acanthiza lineata
taxon:201307 [Gampsorhynchus]@genus,taxon:9173 [Timaliidae]@family,genus,Gampsorhynchus
taxon:28725 [Corvidae]@family,taxon:192204 [Corvoidea]@superfamily,family,Corvidae
taxon:181119 [Pseudopodoces humilis]@species,taxon:181118 [Pseudopodoces]@genus,species,Pseudopodoces humilis
taxon:59407 [Apaloderma narina]@species,taxon:57396 [Apaloderma]@genus,species,Apaloderma narina
taxon:94924 [Dactylopterus volitans]@species,taxon:94923 [Dactylopterus]@genus,species,Dactylopterus volitans
taxon:94921 [Bothus lunatus]@species,taxon:94920 [Bothus]@genus,species,Bothus lunatus
taxon:187428 [Euplectes]@genus,taxon:1002748 [Ploceidae]@family,genus,Euplectes
taxon:90069 [Solea solea]@species,taxon:28828 [Solea]@genus,species,Solea solea
taxon:54380 [Cariama cristata]@species,taxon:54379 [Cariama]@genus,species,Cariama cristata
taxon:3151100 [Rhynchophanes mccownii]@species,taxon:3151086 [Rhynchophanes]@genus,species,Rhynchophanes mccownii
taxon:184433 [Cratinus agassizii]@species,taxon:184432 [Cratinus]@genus,species,Cratinus agassizii
